Module#,Codename,Full_Name,Function,Key_Claims,Trade_Secrets,Market_Target,Status
1,OSE-Engine,Observable State Enumeration Engine,Computes S_observable and prunes S_complete,Bounded-move state reduction and hash-based reachability,Exact hash functions and memory optimizations,Core IP - All Products,READY
2,PCV-Layer,Polynomial Convergence Verifier,Proves algorithm terminates polynomially generates certificates,Eigenvalue bounds and Nittay limit verification,Matrix-free spectral methods,Verification/Certification,READY
3,PEF-API,Problem Encoding Framework,Transforms NP/PSPACE problems to framework,Unified trait interface and reduction chains,Optimal encoding parameters,API/Platform,READY
4A,DSO-Logistics,Logistics Optimizer,Routes delivery supply chain,Real-time constraint VRP optimization,Pruning heuristics,Logistics Industry,READY (15.56ms Berlin)
4B,DSO-Scheduling,Scheduling Engine,Hospital workforce manufacturing,Hierarchical state capping zero-violation guarantee,Domain-specific bounds,Healthcare/Manufacturing,READY (100 nurses 90s)
4C,DSO-GameAI,Game AI Engine,Chess strategy decision systems,Saturation-based game tree search,Depth derivation formulas,Gaming/Strategy,READY (5-0 vs Stockfish)
4D,DSO-Verification,Verification Engine,Hardware software formal methods,Polynomial circuit equivalence checking,QBF resolution methods,EDA/Formal Methods,PROTOTYPE
4E,DSO-Crypto,Cryptanalysis Service,Integer factoring discrete log,TSP-based factor encoding (Nittay gadget),Bit-gradient search,Security/Research,CONFIDENTIAL
4F,DSO-Laplace,Deterministic State Predictor,Physics simulation attractor analysis,Polynomial trajectory prediction for CA,Cycle detection algorithms,Simulation/Physics,PROTOTYPE (Rule 110)
4G,DSO-Grapheme,GRAPHEME Neural Architecture,Bounded-transformation neural training,Five-Headed Loss and BoundedLoss functions,Weight ratios and rank signatures,AI/ML,PROTOTYPE (GSM8K 17.3%)
4H,DSO-Audio,Laplace Audio Transcription,Audio-to-phoneme via s-domain projection,Pole-zero phoneme recognition,Formant-to-pole mapping,Speech/Audio,NEW (2026-01-15)
5,HAL-Accelerator,Hardware Acceleration Layer,FPGA/ASIC for core algorithms,Parallel neighborhood evaluation pipeline,Silicon-embedded trade secrets,Future Moat,PLANNED
4I,DSO-OPM,OPM Option Pool Management,Contract rules to valid ESOP allocations,CNF encoding for contract constraints,Scoring function and parsing heuristics,Finance/Consulting,PRODUCTION (12μs)
