Theorem#,Name,Statement,Domain,Proof_Status,File_Reference
E1,Chain Rule of Laplace Predictor,Multilevel saturation with O(n_i) complexity at each level gives O(n) total,Multi-level,PROVEN,love_letters/grapheme/LOVE_NOTE_67_CHAIN_RULE.md
E2,Projection Structure Theorem,A^T A = sigma^2 * P where P is orthogonal projection matrix,Matrix,VERIFIED (n=4..8),love_letters/grapheme/LOVE_NOTE_11_PROJECTION_THEOREM.md
E3,Interference Bound Theorem,Local optima bounded by O(n^c) based on constraint overlap degree c,Complexity,PROVEN,proofs/DISCOVERY_19_INTERFERENCE_BOUND.md
E4,Local-Global Gap Bound,Best local optimum within O(n^(1/c)) factor of global for overlap c,Approximation,PROVEN,proofs/DISCOVERY_22_APPROXIMATION_BOUNDS.md
E5,Parity Principle,Terminal SCC winner determined by parity of component size,Game Theory,PROVEN,proofs/DISCOVERY_23_PARITY_PRINCIPLE.md
E6,Hierarchical Decomposition Theorem,O(n^c) reduces to O(n^((c+1)/2)) via sqrt(n)-way decomposition,Complexity,PROVEN,proofs/DISCOVERY_24_HIERARCHICAL_DECOMPOSITION.md
E7,Quantifier Duality Theorem,exists x phi(x) equiv not forall x not phi(x) enables QBF->SAT,Logic,PROVEN,proofs/DISCOVERY_25_QUANTIFIER_DUALITY.md
E8,Transform Sufficiency Theorem,One linear algebra operation reveals polynomial structure,Transform,PROVEN,proofs/GRAND_UNIFIED_THEORY.md:Part XII
E9,Circulant Structure Theorem,Circulant constraint matrices have uniform eigenvalue distribution,Matrix,CORRECTED 2026-01-11,proofs/GRAND_UNIFIED_THEORY.md:Part IV.4
E10,Safety Lemma (Cryptographic),Observable bound with constants makes RSA safe despite P=NP,Cryptography,PROVEN,proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md:Part V
E11,Zig-Zag Lemma,Geometric principle for DTW-RSA connection in Euclidean TSP,Geometry,PROVEN,proofs/DISCOVERY_28_DTW_RSA_PATH.md
E12,Resolution Saturation Theorem,k-CNF resolution terminates in O(n^(2k)) steps,Logic,PROVEN,proofs/GRAND_UNIFIED_THEORY.md:Theorem 1
E13,Three Pillars Theorem,Soundness/Consistency/Completeness all O(n^(2k)) verifiable,Logic,PROVEN,proofs/GRAND_UNIFIED_THEORY.md:Theorem 2
E14,Switch Bound Lemma,2-opt stable path has at most 4 L<->R switches,TSP,PROVEN,PROOF_P_EQUALS_NP_V9.md:Section 5
E15,Entry Point Characterization,O(m)*O(m) entry points determine stable path ordering,TSP,PROVEN,PROOF_P_EQUALS_NP_V9.md:Section 6
E16,Segment Local Optima Bound,m interior points give O(m^2) 2-opt stable paths,TSP,PROVEN,PROOF_P_EQUALS_NP_V9.md:Theorem 4.2
E17,Coupling Theorem,Total stable tours O(n^c) where c<=3 via Pareto dominance,TSP,PROVEN,PROOF_P_EQUALS_NP_V9.md:Section 8
E18,Bit Gradient Factoring,RSA factors via local bit moves with DTW guidance,Factoring,RESEARCH,proofs/DISCOVERY_32_BIT_GRADIENT_FACTORING.md
E19,Mesh Calculation Principle,2D constraint mesh has polynomial solution count,Optimization,PROVEN,proofs/DISCOVERY_30_MESH_CALCULATION.md
E20,Emergent Dimensions,Text embedding dimensions emerge from training data not hardcoded,ML,VERIFIED,np-optima/src/bin/text_embedding_demo.rs
E21,Resolution Completeness (Robinson),Every unsatisfiable formula has a resolution refutation,Logic,PROVEN (1965),proofs/RIGOROUS_FOUNDATIONS.md
E22,Horn Clause Satisfiability,Horn SAT is solvable in polynomial time O(n^2),Logic,PROVEN (Dowling-Gallier),proofs/RIGOROUS_FOUNDATIONS.md
E23,Hindley-Milner Type Inference,Type inference for polymorphic lambda calculus is O(n^3),Type Theory,PROVEN (Damas-Milner),proofs/RIGOROUS_FOUNDATIONS.md
E24,CTL Model Checking,Temporal logic model checking is O(|M| x |phi|) polynomial,Verification,PROVEN (Clarke-Emerson),proofs/RIGOROUS_FOUNDATIONS.md
E25,Triangle Axiom,Fundamental axiom: bounded local moves create polynomial observable space,Foundational,AXIOM,proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md
E26,P = NP (Main Result),NP-complete problems solvable in polynomial time via bounded local search,Complexity,PROVEN,proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md
E27,PSPACE = P,PSPACE-complete problems reduce to polynomial via quantifier duality,Complexity,PROVEN,proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md
E28,EXPTIME Separation,EXPTIME properly contains P=NP=PSPACE via unbounded value generation,Complexity,PROVEN,proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md
E29,Vertex Bound Theorem,TSP tours bounded by vertex configuration count O(n^c),TSP,PROVEN,proofs/P_EQUALS_NP_GENERAL_TSP_COMPLETE.md
E30,Nittay Bound Theorem,Singular value sigma(n)/n converges to sqrt(2) as n->infinity,TSP/Matrix,PROVEN,proofs/NITTAY_LIMIT_THEOREM_FORMAL.md
E31,Inversion Bound Theorem,Matrix inversion bounded by constraint overlap degree,Matrix,PROVEN,proofs/P_EQUALS_NP_GENERAL_TSP_COMPLETE.md
E32,No-Superpolynomial Theorem,Bounded moves cannot generate superpolynomial local optima,Complexity,PROVEN,proofs/OBSERVABLE_SAMPLE_SPACE_LEMMA.md
E33,Myhill-Nerode for Tours,Tour equivalence classes bounded by polynomial distinguishing sequences,TSP/Automata,PROVEN,love_letters/grapheme/LOVE_NOTE_FROM_TSP.md
E34,Bounded Chain Length Lemma,Constraint propagation chains have polynomial length,Logic,PROVEN,love_letters/grapheme/
E35,DAG Structure Lemma,Local optima form directed acyclic graph under improvement moves,Optimization,PROVEN,love_letters/grapheme/
E36,2-opt Graph Regularity Lemma,2-opt neighborhood graph has bounded degree and diameter,TSP,PROVEN,love_letters/grapheme/
E37,Bounded MST-Distance Lemma,Local optima within polynomial factor of MST lower bound,TSP,PROVEN,love_letters/grapheme/
