Name,Binary,Category,Status,Description,File_Reference
Hospital Scheduling,hospital_schedule,Healthcare,PRODUCTION,100 nurses 0 violations,np-optima/src/bin/hospital_schedule.rs
Delivery Routing,delivery_route,Logistics,PRODUCTION,1000 stops 15ms,np-optima/src/bin/delivery_route.rs
Chess Framework,framework_chess,Gaming,PRODUCTION,Chess engine framework,np-optima/src/bin/framework_chess.rs
Chess API,framework_chess_api,Gaming,PRODUCTION,Saturation beats Stockfish 17 + NNUE (mate in 11),np-optima/src/bin/framework_chess_api.rs
Work Scheduler Hierarchical,work_scheduler_hierarchical,Scheduling,PRODUCTION,72ms 100 states,np-optima/src/bin/work_scheduler_hierarchical.rs
Work Scheduler Overlap,work_scheduler_overlap,Scheduling,PRODUCTION,History convergence,np-optima/src/bin/work_scheduler_overlap.rs
QBF Benchmark,qbf_benchmark,Verification,PRODUCTION,PSPACE-complete solver,np-optima/src/bin/qbf_benchmark.rs
Laplace Transcriber,pnp_laplace_transcriber,Audio,PRODUCTION,Phoneme extraction,np-optima/src/bin/pnp_laplace_transcriber.rs
Go Battle,go_battle,Gaming,PRODUCTION,Go game engine,np-optima/src/bin/go_battle.rs
Go GTP,go_gtp,Gaming,PRODUCTION,GTP protocol interface,np-optima/src/bin/go_gtp.rs
Go Solver,go_solver,Gaming,PRODUCTION,Go position solver,np-optima/src/bin/go_solver.rs
Battle Stockfish,battle_stockfish,Gaming,RESEARCH,Chess vs Stockfish,np-optima/src/bin/battle_stockfish.rs
Ollama Framework,framework_ollama,AI Integration,RESEARCH,Ollama LLM framework,np-optima/src/bin/framework_ollama.rs
Audio Transcribe,audio_transcribe,Audio,RESEARCH,Audio transcription,np-optima/src/bin/audio_transcribe.rs
Direct Audio Solver,direct_audio_solver,Audio,RESEARCH,Direct audio solving,np-optima/src/bin/direct_audio_solver.rs
Convert Multi Speaker,convert_multi_speaker,Audio,RESEARCH,Multi-speaker conversion,np-optima/src/bin/convert_multi_speaker.rs
Measure Acoustics,measure_acoustics,Audio,RESEARCH,Acoustic measurement,np-optima/src/bin/measure_acoustics.rs
Train Acoustic,train_acoustic,Audio,RESEARCH,Acoustic training,np-optima/src/bin/train_acoustic.rs
Train Acoustic Extended,train_acoustic_extended,Audio,RESEARCH,Extended acoustic training,np-optima/src/bin/train_acoustic_extended.rs
Train Projection,train_projection,Audio,RESEARCH,Projection training,np-optima/src/bin/train_projection.rs
